-0.511044,0.599214,0.049080,-0.511044,-0.629690,0.511044,-0.511044,0.492775,-0.510577,-0.511044,-0.541489,0.511077,-0.073271,-0.126265,0.229600,-0.112419
0.511044,-0.340507,0.621318,0.511044,-0.148943,-0.511044,0.511044,-0.514641,0.511136,0.511044,0.457120,-0.511038,-0.132077,0.133400,-0.225450,0.166414
-0.511044,0.472334,0.006958,-0.511044,-0.640979,0.511044,-0.511044,0.510336,-0.511026,-0.511044,-0.521661,0.511045,0.029020,-0.003703,0.214426,-0.155065
0.511044,-0.518665,0.613026,0.511044,0.410543,-0.511044,0.511044,-0.511184,0.511048,0.511044,0.508954,-0.511044,0.000964,0.223687,-0.248180,0.104492
-0.511044,0.204299,-0.159518,-0.511044,-0.530830,0.511044,-0.511044,0.511017,-0.511044,-0.511044,0.401254,0.511044,0.113183,-0.147211,0.154038,-0.165371
0.511044,-0.571435,0.580251,0.511044,0.507149,-0.511044,0.511044,-0.239643,0.511044,0.511044,0.690652,-0.511044,0.108565,0.440363,-0.227968,0.004860
-0.511044,0.178067,-0.497419,-0.511044,-0.511811,0.511044,-0.511044,0.564476,-0.511044,-0.511044,0.747628,0.248248,0.192051,-0.335060,0.158900,-0.242683
0.511044,-0.576599,0.513727,0.511044,0.510893,-0.511044,0.511044,-0.500525,0.511044,0.511044,0.668882,0.201387,-0.031686,0.422696,-0.131797,-0.160067
-0.511044,0.498138,-0.510516,-0.511044,-0.511074,0.511044,-0.511044,0.513115,-0.126331,-0.511044,0.743342,0.651304,0.309830,-0.345060,0.020873,-0.261035
0.511044,-0.513585,0.511148,0.511044,0.511038,-0.511044,0.511044,-0.510637,0.586784,0.511044,0.486424,0.208960,-0.137440,0.305026,-0.110301,-0.121398
-0.511044,0.510544,-0.511024,-0.511044,-0.511045,0.511044,-0.511044,0.511125,-0.496133,-0.511044,-0.114755,0.652795,0.274437,-0.297334,0.101454,-0.155306
0.511044,-0.511143,0.511048,0.511044,0.510402,-0.511044,0.511044,-0.511028,0.513980,0.511044,0.240592,-0.305390,-0.219889,0.191534,-0.114758,0.067126
-0.511044,0.511025,-0.511043,-0.511044,-0.511171,0.511044,-0.511044,0.511047,-0.510466,-0.511044,-0.564289,0.551532,0.216711,-0.169452,0.244571,-0.031163
0.511044,-0.511048,0.511044,0.511044,0.511019,-0.511044,0.511044,-0.511044,0.511158,0.511044,0.033760,-0.503073,-0.175052,0.177170,-0.194781,0.164112
-0.511044,0.511043,-0.511044,-0.511044,-0.511049,0.511044,-0.511044,0.511044,-0.511022,-0.511044,-0.605009,0.512614,0.075820,-0.205956,0.273041,-0.084439
0.511044,-0.384851,0.511044,0.511044,0.430662,-0.511044,0.511044,-0.511044,0.511049,0.511044,0.376249,-0.510735,-0.225585,0.164209,-0.241708,0.221617
-0.511044,0.535888,-0.338815,-0.511044,-0.526869,0.511044,-0.511044,0.511044,-0.511043,-0.511044,-0.537582,0.511105,-0.037022,-0.110749,0.263664,-0.127975
0.511044,-0.397720,0.544952,0.511044,0.507929,-0.511044,0.511044,-0.511044,0.511044,0.511044,0.505820,-0.511032,-0.115161,0.247321,-0.260443,0.150724
-0.511044,0.533355,-0.010119,-0.511044,-0.511658,0.511044,-0.511044,0.511044,-0.511044,-0.511044,-0.282593,0.511047,0.018432,-0.160107,0.206493,-0.159621
0.511044,-0.504746,0.609664,0.511044,0.510923,-0.511044,0.511044,-0.481047,0.511044,0.511044,0.556020,-0.511044,-0.016441,0.433896,-0.254883,0.200354
-0.511044,0.103047,-0.076664,-0.511044,-0.511068,0.511044,-0.511044,0.516950,-0.511044,-0.511044,0.136382,0.511044,0.103825,-0.239187,0.241909,-0.051037
0.511044,-0.591368,0.590035,0.511044,0.511040,-0.511044,0.511044,0.213501,0.511044,0.511044,0.412144,0.097527,0.060259,0.431934,-0.208615,-0.031551
-0.511044,-0.034103,-0.294291,-0.511044,-0.511045,0.511044,-0.511044,0.653689,-0.329710,-0.511044,0.243473,0.630856,0.122125,-0.259752,-0.044737,-0.228417
0.511044,-0.618370,0.553717,0.511044,0.511044,-0.511044,0.511044,0.437626,0.546744,0.511044,0.659589,0.087927,0.055114,0.396746,-0.326796,-0.025157
-0.511044,0.268298,-0.502643,-0.511044,-0.511044,0.511044,-0.511044,0.697813,-0.322254,-0.511044,0.083171,0.628966,0.202712,-0.298609,-0.070639,-0.240279
0.511044,-0.558835,0.512698,0.511044,0.511044,-0.511044,0.511044,-0.325347,0.548212,0.511044,0.419721,-0.081424,-0.064481,0.381676,-0.258989,0.003193
-0.511044,0.501636,-0.510719,-0.511044,-0.511044,0.511044,-0.511044,0.547603,-0.379203,-0.511044,-0.432635,0.595626,0.312675,-0.216198,0.016486,-0.145307
0.511044,-0.512897,0.511108,0.511044,0.511044,-0.511044,0.511044,-0.503847,0.537000,0.511044,0.449067,-0.494392,-0.186853,0.144048,-0.127678,0.097605
-0.511044,0.510680,-0.511032,-0.511044,-0.483286,0.511044,-0.511044,0.060927,-0.448408,-0.511044,-0.523246,0.514323,0.325358,-0.180861,0.084537,-0.098269
0.511044,-0.511116,0.511047,0.511044,0.516509,-0.360934,0.511044,-0.599661,0.523376,0.511044,0.508642,-0.510399,-0.268371,-0.008788,-0.018722,0.192616
-0.511044,0.511030,-0.511044,-0.511044,-0.418742,0.502640,-0.511044,-0.058616,-0.508616,-0.511044,-0.511517,0.511171,0.303458,-0.180477,0.149133,-0.145858
0.511044,-0.511047,0.511044,0.511044,0.408318,0.093610,0.511044,-0.623196,0.511522,0.511044,0.510951,-0.511019,-0.259460,-0.077156,-0.094642,0.225357
-0.511044,0.272701,-0.463494,-0.511044,-0.531268,0.630085,-0.511044,0.384545,-0.510950,-0.511044,-0.511063,0.511049,0.090695,-0.156352,0.162999,-0.184912
0.511044,-0.557968,0.520406,0.511044,0.158836,-0.049124,0.511044,-0.535949,0.511063,0.511044,0.511041,-0.511043,-0.078732,0.062744,-0.123806,0.197541
-0.511044,0.057677,-0.208666,-0.511044,-0.580385,0.601984,-0.511044,0.506141,-0.511041,-0.511044,-0.511045,0.511044,0.110139,0.003877,0.141765,-0.207625
0.511044,-0.600301,0.570575,0.511044,0.069026,-0.363506,0.511044,-0.512010,0.511045,0.511044,0.511044,-0.511044,-0.016912,0.131214,-0.146517,0.130891
-0.511044,0.354475,-0.499324,-0.511044,-0.598066,0.540091,-0.511044,0.510854,-0.511044,-0.511044,0.171906,0.511044,0.137416,0.037690,0.113193,-0.190757
0.511044,-0.541869,0.513352,0.511044,0.031360,-0.505326,0.511044,0.414762,0.511044,0.511044,0.645500,-0.511044,-0.014488,0.180005,-0.031696,0.097257
-0.511044,0.504976,-0.510590,-0.511044,-0.605482,0.512170,-0.511044,0.693312,-0.508960,-0.511044,0.722729,0.511044,0.269295,0.037695,0.030695,-0.202140
0.511044,-0.512239,0.511134,0.511044,0.342215,-0.510823,0.511044,0.170296,0.511455,0.511044,0.753943,-0.265866,-0.143223,0.269526,-0.200333,-0.095571
-0.511044,0.510809,-0.511027,-0.511044,-0.544282,0.511088,-0.511044,0.645183,0.017807,-0.511044,0.379565,0.559314,0.377504,-0.118628,-0.033398,-0.300270
0.511044,-0.511091,0.511048,0.511044,0.504501,-0.511036,0.511044,-0.163534,0.615162,0.511044,0.686382,-0.374363,-0.239581,0.355569,-0.250041,-0.001646
-0.511044,0.511035,-0.511044,-0.511044,-0.512333,0.511046,-0.511044,0.579460,-0.062805,-0.511044,-0.464592,0.537953,0.362102,-0.244522,-0.000549,-0.139541
